gender,age,Salary,Rent,Groceries,Utilities,Transportation,Healthcare,Entertainment,Savings,Others,Investment_Recommendation
Female,34,365711,56642,49649,29307,28249,33779,66667,14580,86838,Diversify into more Fixed Deposits or Government Bonds.
Female,23,495829,93800,73473,34298,44419,51016,88457,21252,89114,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,177952,19059,18570,9077,16306,22745,34434,11429,46332,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,22,212315,38199,26130,18902,11871,24202,33369,11598,48044,Diversify into more Fixed Deposits or Government Bonds.
Female,24,942371,143415,113775,59584,83599,90105,168139,28909,254845,Diversify into more Fixed Deposits or Government Bonds.
Female,24,419783,67906,54826,33938,40798,49611,70513,14685,87506,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,27,364137,61817,37510,30347,30417,25868,56968,15944,105266,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,21,182579,24898,23463,13133,18152,10992,29294,7275,55372,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,670581,110854,75551,49164,41724,44189,104288,40549,204262,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,508242,57847,55820,34782,46275,30347,97530,20348,165293,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,434564,85890,53639,42951,34870,53854,66036,12485,84839,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,795831,89149,91367,44516,52445,72760,121927,54780,268887,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,796326,124753,90199,60650,43557,85680,156450,30991,204046,Diversify into more Fixed Deposits or Government Bonds.
Female,28,370744,61818,39518,31816,23902,25329,66484,12433,109444,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,230584,42172,23113,19344,14642,28482,45681,7137,50013,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,899052,141705,116519,70677,54981,130610,154957,42394,187209,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,664474,112926,76329,60261,46397,91771,118983,29695,128112,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,601377,101785,81945,45143,58817,68797,102951,22801,119138,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,734343,74844,84507,60957,47368,82101,125895,29371,229300,Consider increasing investment in Mutual Funds or Equity Market.
